배스킨라빈스 홍은동점,36373222
엔제리너스 동신병원점,32002261
오름카페,53395633
이디야커피 서대문구청점,1207535641
카페로이,1357275594
파리바게뜨 서대문구청점,1217547228
마실ing,13152228
피터팬1978,13413865
데일리브레드,36022454
지금이곳에,1664022689
빈트리,1151613661
본지르르,1161125870
카페들꽃,1030768311
에브리띵베이글,1588980015
자연꽃카페,1390958735
하이천사,1735514012
하이드미플리즈 홍제,37160905
매뉴팩트커피,32982001
스타벅스 연희DT점,36462644
로덴드론 연희점,1595735508
꽃그리는아이 서대문점,1615123456
서대문키즈헬스케어센터 아이랑,1078810407
할리스 홍제천점,1673005482
노아스로스팅 연희점,31683574
롱앤쇼트,1495377546
이디야커피 명지대점,18763492
탐앤탐스 홍제역점,1374137359
스타벅스 홍제역점,541677107
주재근베이커리,15000396
티아레나,1534115818
카페곳,37049506
애니브,1478706979
할리스 서울명지대점,1620224190
투썸플레이스 홍제삼거리점,1078779342
디저트39 명지대점,1747599758
알레스구떼,1320970305
띵똥와플 명지대점,38269023
콜드레시피,32581553
빽다방 명지대점,37755034
하이롱 디저트가게,1238945862
메가MGC커피 홍제역점,1255630760
명지대점 매머드 익스프레스,1491366315
배스킨라빈스 홍제삼거리,13411727
와플대학 명지대캠퍼스,1992782202
아마스빈 명지대점,1940234958
돌파운드,1269688740
헬로방방 남가좌충암점,854210338
파리바게뜨 홍제점,18742466
폴앤폴리나,709038120
시냇가에심은나무,13150870
연희도그,1260621341
롤리홀리,1395411968
이디야커피 명지전문대점,34348953
배스킨라빈스 연희사러가점,30824576
뉘블랑쉬,1529107355
본솔커피 연희점,35689660
한나식빵 명지대점,1640660831
커피오름 홍제점,1127051751
와플대학 홍제캠퍼스,1874821650
컴포즈커피 홍제삼거리점,1820656650
버드스틱,37463436
투썸플레이스 서대문홍은점,1244446261
달콤커피 명지대점,30834014
하르당 홍제역점,1276697129
메가MGC커피 명지전문대점,1772368551
메가MGC커피 연희점,1039944392
이디야커피 홍은사거리점,1880448620
매머드익스프레스 명지대점,1328262783
파리바게뜨 연희안산점,18252035
ALLDOUGHBAKERY,1370912899
노블베이커리,1825374798
아이조은,32699662
금양식방,1023945232
메가MGC커피 홍은사거리점,1092640414
달리는커피 홍제역점,1828808680
